id,roomid,parentid,created_time,type,content,username,useraddress
4515,2882,\N,"2014-10-16 20:17:19","presence","join","VirtualCarolyn","128.2.220.118:34182"
4516,2882,\N,"2014-10-16 20:17:27","presence","join","diyi","128.237.196.207:57963"
4517,2882,\N,"2014-10-16 20:17:29","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34182"
4518,2882,\N,"2014-10-16 20:17:35","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34182"
4519,2882,\N,"2014-10-16 20:17:36","image","http://hello i am virtualdiyi","diyi","128.237.196.207:57963"
4520,2882,\N,"2014-10-16 20:17:41","presence","join","mwen","128.2.214.35:55407"
4521,2882,\N,"2014-10-16 20:17:41","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34182"
4522,2882,\N,"2014-10-16 20:17:53","text","hello, i am virtual diyi","diyi","128.237.196.207:57963"
4523,2882,\N,"2014-10-16 20:18:03","text","hello I am virtualwen","mwen","128.2.214.35:55407"
4524,2882,\N,"2014-10-16 20:18:15","text","why do you take this course","diyi","128.237.196.207:57963"
4525,2882,\N,"2014-10-16 20:18:21","text","good question","mwen","128.2.214.35:55407"
4526,2882,\N,"2014-10-16 20:18:33","text","i want to know more about educational data mining","diyi","128.237.196.207:57963"
4527,2882,\N,"2014-10-16 20:18:37","ready","ready","mwen","128.2.214.35:55407"
4528,2882,\N,"2014-10-16 20:18:39","private","Okay, mwen. Make sure your team agrees.","VirtualCarolyn","128.2.220.118:34182"
4529,2882,\N,"2014-10-16 20:18:40","ready","ready","diyi","128.237.196.207:57963"
4530,2882,\N,"2014-10-16 20:18:41","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34182"
4531,2882,\N,"2014-10-16 20:18:51","ready","global unready","VirtualCarolyn","128.2.220.118:34182"
4532,2882,\N,"2014-10-16 20:18:53","ready","global unready","VirtualCarolyn","128.2.220.118:34182"
4533,2882,\N,"2014-10-16 20:18:54","text","i want to know more about educational data mining","diyi","128.237.196.207:57963"
4534,2882,\N,"2014-10-16 20:18:55","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34182"
4535,2882,\N,"2014-10-16 20:19:14","text","I&#39;m ready to learn some learning analytics!","mwen","128.2.214.35:55407"
4536,2882,\N,"2014-10-16 20:19:28","ready","ready","diyi","128.237.196.207:57963"
4537,2882,\N,"2014-10-16 20:19:29","private","Hang on until the rest of your team is ready, diyi.","VirtualCarolyn","128.2.220.118:34182"
4538,2882,\N,"2014-10-16 20:19:31","text","Algorithms for NLP is an introductory graduate-level course on the computational properties of natural languages and the fundamental algorithms for processing natural languages. The course will provide an in-depth presentation of the major algorithms used in NLP, including Lexical, Morphological, Syntactic and semantic analysis, with the primary focus on parsing algorithms and their analysis. The course is a recommended first-semester class for both the MLT and PhD in Language Technologies programs. ","diyi","128.237.196.207:57963"
4539,2882,\N,"2014-10-16 20:19:47","text","virtualcarolyn, can you say something!","mwen","128.2.214.35:55407"
4540,2882,\N,"2014-10-16 20:19:57","text","we love this course!!!!!","diyi","128.237.196.207:57963"
4541,2882,\N,"2014-10-16 20:20:02","text","yeppp!","mwen","128.2.214.35:55407"
4542,2882,\N,"2014-10-16 20:20:09","ready","ready","mwen","128.2.214.35:55407"
